Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Arab Emirates,Included / International,Price / International,Compare At Price / International,Status
phone-mount,Phone Mount Wall,"<p>Clevisco's Self-Adhesive Wall Phone/Remote Holder, Wall Mount Phone/Remote Holder, Phone/Remote, Plug Wall Holder Charging Phone Stand Wall Organizer</p>",Clevisco,Electronics > Electronics Accessories,Electronic Accessory,"Wall Phone Holder, Wall Phone Mount",true,Title,Default Title,,,,,PMW,0.0,shopify,3,deny,manual,29.00,,true,false,'710594325648,https://cdn.shopify.com/s/files/1/0779/1827/3853/products/H2275512aba0a454d81e6ac3e86bf5b502.jpg_960x960_338b99ea-ab23-42e1-b3ad-d9fd6649e9f4.jpg?v=1687653304,1,,false,Clevisco Phone Mount Wall,,,,,,,,,,,,,,kg,,,true,true,,,active
phone-mount,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/H2275512aba0a454d81e6ac3e86bf5b502.jpg_960x960_15418e19-aaca-462b-b755-168fdb4c54de.jpg?v=1687692123,2,,,,,,,,,,,,,,,,,,,,,,,,
storagearm-rest1,Tesla Model 3 Model Y Centre Console Storage Organizer Tray Container,"<p>Tesla Model 3 Model Y Centre Storage Box Handle Pocket Armrest storage Passenger Storage Tray Container</p>
<quillbot-extension-portal></quillbot-extension-portal>",Clevisco,Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Storage & Cargo > Vehicle Organizers,Tesla Accessories,"Tesla Accessories, Tesla Center Console, Tesla Center Console Organizer, Tesla Storage, Tesla Storage Organizer",true,Title,Default Title,,,,,M3YCSST,0.0,shopify,4,deny,manual,49.00,,true,false,'710594325495,https://cdn.shopify.com/s/files/1/0779/1827/3853/products/H44e64402394244d283058a62f9c2b27bI.jpg_960x960_5f75f030-7cd9-4314-9ae2-4cf42b410d71.jpg?v=1687653309,1,,false,Clevisco Tesla Model 3 Model Y Centre Console Storage Organizer Tray Container,,,,,,,,,,,,,,kg,,,true,true,,,active
tesla-console-wrap,Tesla Console Wrap,"<p>Clevisco's Center Console Wrap Skin Interior (2) Sets Compatible with MODEL 3 MODEL Y 2021-2022</p>
<quillbot-extension-portal></quillbot-extension-portal>",Clevisco,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor",Tesla Accessories,"Console Skin Tesla, Console Wrap Tesla, Tesla Console Skin, Tesla Console Skin Wrap, Tesla Console Wrap",true,Color,Wooden Brown,,,,,CW-WB,0.0,shopify,4,deny,manual,49.00,,true,false,7.11E+11,https://cdn.shopify.com/s/files/1/0779/1827/3853/products/7b3e7f_4e8d8144b0f44dc793a1179e57958650_mv2.jpg?v=1687683990,1,Tesla Console Wrap Wooden Brown,false,Clevisco Tesla Console Wrap Wooden Brown / Modern White,"Clevisco's beautiful console wrap designed to match the interior dash of your beautiful tesla. Our engineers have perfected the color to match 1:1 to the interior dash trim of tesla model 3 & model Y. Laser cutting technology ensures perfect finish & marvelous texture, which feels like the wrap came with the car.","Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Décor",,Adult,7.11E+11,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/products/7b3e7f_4e8d8144b0f44dc793a1179e57958650_mv2.jpg?v=1687683990,kg,,49.00,true,true,49.00,,active
tesla-console-wrap,,,,,,,,,Modern White,,,,,CW-MW,0.0,shopify,4,deny,manual,49.00,,true,false,7.11E+11,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_0018930c69674879980f19e7ffd34add_mv2.jpg?v=1687689218,2,Tesla Console Wrap Modern White,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_0018930c69674879980f19e7ffd34add_mv2.jpg?v=1687689218,kg,,49.00,,,,,
tesla-console-wrap,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_869c8b51f68f43e998351254b71a88f8_mv2.jpg?v=1687688264,3,Tesla Console Wrap Wooden Brown,,,,,,,,,,,,,,,,,,,,,,,
tesla-console-wrap,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_4d5de214c7bc4af69f63ae34546516b0_mv2.jpg?v=1687688264,4,Tesla Console Wrap Wooden Brown,,,,,,,,,,,,,,,,,,,,,,,
tesla-console-wrap,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_0cecc02d34644e6882a655b74b19e398_mv2.jpg?v=1687688264,5,Tesla Console Wrap Wooden Brown,,,,,,,,,,,,,,,,,,,,,,,
tesla-console-wrap,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_77b8619edf7f43c49f5cdfa54871cbfd_mv2.jpg?v=1687689486,6,,,,,,,,,,,,,,,,,,,,,,,,
tesla-console-wrap,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_870d8626dde041378ec052bf41c9ff37_mv2.jpg?v=1687689498,7,,,,,,,,,,,,,,,,,,,,,,,,
